Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours,Transmission Classification,CDK_Age-standardised_rate_per_100000,smoking(rate),Diabetes(rate),tuberculosis_per_100000_populaiton,Obesity(rate),Developed
Cyprus,Europe,33710,2792.04,882,73.05,143,231,19.13,4,0.33,1,Clusters of cases,6108,NA,9,5.3,22.6,YES
Czechia,Europe,1198168,11188.44,74916,699.56,13816,19835,185.22,1096,10.23,153,Community transmission,7998,33.2,7,4.9,28.5,YES
Democratic People's Republic of Korea,South-East Asia,0,0,0,0,0,0,0,0,0,0,No cases,NA,NA,6.4,513,7.1,YES
Democratic Republic of the Congo,Africa,25144,28.07,543,0.61,0,700,0.78,6,0.01,0,Community transmission,10558,NA,6,320,5.6,NO
Denmark,Europe,209079,3609.66,3482,60.12,523,2345,40.49,29,0.5,2,Community transmission,5816,17,8.3,5,21.3,YES
Djibouti,Eastern Mediterranean,6052,612.55,46,4.66,0,63,6.38,0,0,0,Sporadic cases,9851,NA,5.1,234,12.2,NO
Dominica,Americas,141,195.86,7,9.72,7,0,0,0,0,0,Clusters of cases,9774,NA,11.6,16,28.2,NO
Dominican Republic,Americas,236883,2183.67,5146,47.44,673,3066,28.26,76,0.7,9,Community transmission,8394,14.1,8.6,42,26.9,NO
Ecuador,Americas,278779,1580.11,10560,59.85,2999,15634,88.61,240,1.36,67,Community transmission,7875,8.65,5.5,46,19.3,NO
Egypt,Eastern Mediterranean,180051,175.94,4374,4.27,644,10495,10.26,345,0.34,52,Clusters of cases,10572,25.1,17.2,12,31.1,NO
El Salvador,Americas,59235,913.25,1212,18.69,0,1823,28.11,56,0.86,8,Community transmission,10650,NA,8.8,58,22.7,NO
Equatorial Guinea,Africa,5852,417.11,122,8.7,0,91,6.49,3,0.21,0,Community transmission,11174,NA,6,181,7.4,NO
Eritrea,Africa,2789,78.64,223,6.29,16,7,0.2,0,0,0,Community transmission,9868,NA,5.1,86,4.1,NO
Estonia,Europe,61627,4645.71,6332,477.33,1152,567,42.74,53,4,10,Clusters of cases,12058,33.05,4.2,13,23.8,YES
Eswatini,Africa,16897,1456.43,224,19.31,58,649,55.94,12,1.03,2,Community transmission,12568,NA,4.5,363,13.5,NO
Ethiopia,Africa,155234,135.03,6376,5.55,977,2317,2.02,80,0.07,12,Community transmission,9376,4.7,4.3,140,3.6,NO
Falkland Islands (Malvinas),Americas,51,1464.25,2,57.42,2,0,0,0,0,0,No cases,NA,NA,14.7,NA,NA,YES
